APA,https://www.sec.gov/Archives/edgar/data/6769/000173303718000006/apaq2201810q.htm
AIV,https://www.sec.gov/Archives/edgar/data/922864/000092286418000037/q2201810-q.htm
AAPL,https://www.sec.gov/Archives/edgar/data/320193/000032019318000100/a10-qq320186302018.htm
AMAT,https://www.sec.gov/Archives/edgar/data/6951/000000695118000029/amat0729201810-qq32018.htm
APTV,https://www.sec.gov/Archives/edgar/data/1521332/000152133218000035/aptv630201810-q.htm
ADM,https://www.sec.gov/Archives/edgar/data/7084/000000708418000032/adm-2018630x10q.htm
ARNC,https://www.sec.gov/Archives/edgar/data/4281/000000428118000109/form10q_2q18.htm
ANET,https://www.sec.gov/Archives/edgar/data/1596532/000159653218000174/anet20180630-10q.htm
AJG,https://www.sec.gov/Archives/edgar/data/354190/000119312518229526/d575587d10q.htm
AIZ,https://www.sec.gov/ix?doc=/Archives/edgar/data/1267238/000162828018010930/aiz-2018063010q.htm
ADSK,https://www.sec.gov/ix?doc=/Archives/edgar/data/769397/000076939718000042/adsk-7312018x10q.htm
AZO,https://www.sec.gov/Archives/edgar/data/866787/000119312518188204/d511750d10q.htm
AVB,https://www.sec.gov/Archives/edgar/data/915912/000091591218000016/q2201810-q.htm
AVY,https://www.sec.gov/Archives/edgar/data/8818/000110465918048389/a18-14035_110q.htm
BHGE,https://www.sec.gov/Archives/edgar/data/1701605/000170160518000082/bhge-2018063010xq.htm
BLL,https://www.sec.gov/Archives/edgar/data/9389/000155837018006348/bll-20180630x10q.htm
BAX,https://www.sec.gov/Archives/edgar/data/10456/000156459018019429/bax-10q_20180630.htm
BBT,https://www.sec.gov/Archives/edgar/data/92230/000009223018000061/form10-q_2q18.htm
BDX,https://www.sec.gov/Archives/edgar/data/10795/000001079518000023/bdx0630201810-q.htm
BRKB,https://www.sec.gov/Archives/edgar/data/1067983/000119312518238892/d370289d10q.htm
BBY,https://www.sec.gov/Archives/edgar/data/764478/000076447818000043/bby841810q-q2fy19.htm
BIIB,https://www.sec.gov/Archives/edgar/data/875045/000087504518000019/biib-2018630x10q.htm
HRB,https://www.sec.gov/Archives/edgar/data/12659/000157484218000027/hrb2018073110q.htm
BA,https://www.sec.gov/Archives/edgar/data/12927/000001292718000048/a201806jun3010-q.htm
BKNG,https://www.sec.gov/Archives/edgar/data/1075531/000107553118000044/bkng6301810q.htm
BWA,https://www.sec.gov/Archives/edgar/data/908255/000090825518000050/a201863010q.htm
BXP,https://www.sec.gov/Archives/edgar/data/1037540/000165642318000020/bxpandbplp10-q20180630.htm
BSX,https://www.sec.gov/Archives/edgar/data/885725/000088572518000032/q22018form10-q.htm
BHF,https://www.sec.gov/Archives/edgar/data/1685040/000168504018000019/bhf-20180630x10q.htm
BMY,https://www.sec.gov/Archives/edgar/data/14272/000001427218000160/bmy-20180630x10q.htm
AVGO,https://www.sec.gov/Archives/edgar/data/1730168/000173016818000039/avgo-08052018x10q.htm
BR,https://www.sec.gov/Archives/edgar/data/1383312/000138331218000027/br-20180331x10q.htm
BFB,https://www.sec.gov/Archives/edgar/data/14693/000001469318000165/bfb-7312018x10qjuly.htm
CHRW,https://www.sec.gov/Archives/edgar/data/1043277/000104327718000031/chrw-10qq22018.htm
CA,https://www.sec.gov/Archives/edgar/data/356028/000035602818000126/ca-20180630x10q.htm
COG,https://www.sec.gov/Archives/edgar/data/858470/000085847018000043/cog-06302018x10q.htm
CDNS,https://www.sec.gov/Archives/edgar/data/813672/000081367218000020/a10-qcdns06302018.htm
COF,https://www.sec.gov/Archives/edgar/data/927628/000092762818000281/cof-06302018x10q.htm
CAH,https://www.sec.gov/Archives/edgar/data/721371/000072137118000038/a18q3_10qx033118xform10-q.htm
